""timestamp"",""samples.name"",""samples.value""
0,""Feature-1"",0.38554359358735385
103,,
107,,
154,,
248,,
298,,
349,,
447,,
497,""Feature-1"",0.45040562316775323
547,,
598,,
657,""Feature-1"",0.41641054808162153
657,""Feature-3"",0.38861556112766266
747,,
799,,
848,,
901,,
998,,
1059,,
1097,,
1157,,
1248,,
1297,,
1350,,
1402,,
1498,""Feature-1"",0.3733182642236352
1547,,
1598,,
1697,,
1748,""Feature-1"",0.5685477624833584
1748,""Feature-4"",0.6577881515026093
1801,,
1852,,
1904,""Feature-1"",0.3956246414780617
2047,,
2058,,
2100,""Feature-1"",0.5416921919956803
2154,,
2247,,
2298,,
2351,,
2405,""Feature-1"",0.5249152958393097
2405,""Feature-3"",0.35258280038833617
2405,""Feature-4"",0.5560831469297409
2498,,
2550,,
2599,,
2697,,
2748,,
2798,,
2849,,
2907,,
2999,,
3048,,
3102,,
3152,,
3247,,
3308,,
3348,""Feature-1"",0.4091299315262586
3348,""Feature-3"",0.3588101893663406
3410,,
3498,,
3549,""Feature-1"",0.4330556893348694
3549,""Feature-3"",0.42827197670936584
3549,""Feature-4"",0.52923295378685
3598,""Feature-1"",0.8397889518737793
3598,""Feature-3"",0.36542943596839905
3598,""Feature-4"",0.6432399559020996
3654,""Feature-4"",0.6492484998703003
3748,,
3797,,
3848,,
3952,""Feature-1"",0.49452858686447143
3952,""Feature-3"",0.54996821641922
3952,""Feature-4"",0.5679258131980895
3998,""Feature-3"",0.4981327763199806
3998,""Feature-4"",0.7326599431037902
4050,,
4101,,
4154,,
4247,,
4350,,
4354,,
4402,""Feature-1"",0.6133058851212263
4402,""Feature-3"",0.4408849564194679
4402,""Feature-4"",0.6180318063497543
4497,""Feature-1"",0.6637417715787888
4497,""Feature-3"",0.4596758306026459
4497,""Feature-4"",1.2711247944831847
4547,,
4610,""Feature-1"",0.3721590111032128
4610,""Feature-4"",0.43313049495220185
4700,""Feature-1"",0.39830127289518713
4747,,
4800,,
4851,,
4947,,
4999,,
5049,""Feature-1"",0.5603514750138856
5049,""Feature-3"",0.44629585698246954
5049,""Feature-4"",0.5675054731965065
5097,""Feature-4"",0.8428677618503571
5157,,
5247,,
5305,,
5353,""Feature-1"",0.7569088786654175
5353,""Feature-3"",0.43212337732315065
5353,""Feature-4"",0.8821026414632798
5403,""Feature-4"",0.35444629192352295
5497,,
5554,,
5602,,
5658,,
5748,,
5847,,
5853,,
5947,,
5998,,
6048,,
6098,,
6208,""Feature-1"",0.3654365894570947
6252,,
6298,,
6351,,
6405,,
6497,,
6551,,
6605,,
6653,,
6748,,
6801,,
6859,""Feature-1"",0.6273309273086488
6859,""Feature-4"",0.9963935601711273
6906,,
7000,,
7047,,
7100,,
7154,,
7249,""Feature-4"",0.3537678563594818
7298,,
7347,,
7407,,
7504,,
7551,,
7603,,
7654,,
7751,""Feature-1"",0.3850737814605236
7798,,
7847,,
7908,""Feature-1"",0.6131699657440186
7908,""Feature-3"",0.5680126631259919
7908,""Feature-4"",0.43999953150749205
7998,""Feature-1"",0.4349578740168363
7998,""Feature-3"",0.4497607073187828
7998,""Feature-4"",0.9799999910593032
8049,,
8100,,
8197,,
8247,,
8300,""Feature-1"",0.7021920049190521
8300,""Feature-3"",0.43526765823364255
8300,""Feature-4"",0.9960033988952637
8349,""Feature-4"",0.5484655573964119
8447,,
8506,,
8551,,
8600,,
8655,,
8751,,
8806,,
8852,,
8903,,
8999,,
9052,,
9104,""Feature-4"",0.4010330653190613
9197,,
9250,,
9300,,
9350,,
9403,,
9499,,
9547,""Feature-1"",0.42003863215446474
9547,""Feature-3"",0.5511508166790009
9547,""Feature-4"",0.6079626154899597
9603,""Feature-3"",0.39385649412870405
9603,""Feature-4"",0.7867375952005387
9652,,
9751,""Feature-1"",0.4135090887546539
9751,""Feature-4"",0.46314205884933474
9847,,
9851,,
9946,,
9997,""Feature-1"",0.3515903164446354
9997,""Feature-3"",0.5259428918361664
9997,""Feature-4"",0.7410096347332
10047,,
10099,,
10197,,
10250,,
10300,,
10352,,
10405,,
10498,,
10549,,
10599,,
10652,""Feature-1"",0.5348090106667951
10652,""Feature-4"",0.5413399116694927
10754,,
10800,,
10849,,
10905,,
10997,,
11049,,
11100,""Feature-1"",0.5501493750140071
11151,,
11248,,
11297,,
11349,""Feature-1"",0.38007619402371345
11349,""Feature-3"",0.35792542636394503
11407,,
11497,,
11547,""Feature-4"",0.36553479194641114
11600,""Feature-4"",0.7505608320236206
11653,,
11754,""Feature-1"",0.42531038079410793
11754,""Feature-4"",0.493848058283329
11799,,
11848,,
11908,""Feature-3"",0.38198526263237
11997,""Feature-1"",0.7391378355026245
11997,""Feature-3"",0.5755566239356995
11997,""Feature-4"",0.43032829761505126
12049,""Feature-4"",0.3988953265547752
12102,""Feature-1"",0.4813383547589183
12102,""Feature-3"",0.42051870346069337
12102,""Feature-4"",0.687779971063137
12153,""Feature-1"",0.6727834343910217
12153,""Feature-3"",0.5366627883911133
12153,""Feature-4"",0.7609098756313324
12251,,
12298,""Feature-1"",0.6269209997355938
12298,""Feature-3"",0.5451641577482224
12298,""Feature-4"",0.4816020858287811
12351,""Feature-3"",0.49343725442886355
12351,""Feature-4"",0.9507571959495544
12408,,
12497,""Feature-1"",0.7297746467590333
12497,""Feature-3"",0.44751270532608034
12497,""Feature-4"",0.8650893592834472
12550,""Feature-1"",0.443401617705822
12550,""Feature-4"",0.8640237957239151
12597,""Feature-1"",0.35713801041245463
12654,,
12748,,
12798,""Feature-1"",0.4342072310904041
12798,""Feature-4"",0.3847255277633667
12849,""Feature-1"",0.6709787034988404
12849,""Feature-3"",0.42803393602371215
12849,""Feature-4"",1.1399892663955689
12950,""Feature-3"",0.4460522365570068
12998,,
13056,,
13099,,
13156,""Feature-1"",0.36357409225776793
13250,,
13299,,
13349,,
13404,,
13499,,
13548,,
13600,,
13653,""Feature-1"",0.8563633573055267
13653,""Feature-3"",0.39955754280090333
13755,,
13798,,
13850,,
13903,,
13997,,
14048,,
14099,,
14158,,
14248,,
14299,,
14352,,
14405,,
14498,,
14547,,
14599,,
14651,,
14748,,
14799,,
14849,,
14905,,
15001,,
15048,""Feature-1"",0.3594732581218705
15048,""Feature-4"",0.41940747648477555
15099,,
15151,,
15248,,
15300,""Feature-3"",0.4616124567389488
15348,,
15406,,
15498,,
15548,,
15601,,
15698,,
15749,,
15799,,
15849,,
15901,,
16001,""Feature-1"",0.5289530420303344
16001,""Feature-3"",0.5806001663208008
16001,""Feature-4"",0.5099212831258774
16050,""Feature-1"",0.7366585566475987
16050,""Feature-3"",0.44588989377021787
16050,""Feature-4"",0.6747551614046097
16100,,
16197,,
16248,,
16301,,
16349,,
16402,,
16497,""Feature-1"",0.6881104175746441
16497,""Feature-4"",0.795303381383419
16547,,
16601,,
16654,""Feature-1"",0.609154875203967
16654,""Feature-4"",0.5373787137866021
16748,,
16798,,
16850,,
16900,""Feature-1"",0.632816006615758
16900,""Feature-3"",0.5235851868987084
17000,,
17049,,
17098,""Feature-1"",0.5086492903158069
17098,""Feature-3"",0.42792544662952425
17098,""Feature-4"",0.7195429646968842
17156,""Feature-1"",0.6339955496788025
17156,""Feature-3"",0.42891775369644164
17156,""Feature-4"",1.0439000415802002
17296,,
17302,""Feature-1"",0.41919692599098196
17302,""Feature-4"",0.541100113093853
17351,""Feature-1"",0.604617475271225
17351,""Feature-3"",0.4693875670433044
17351,""Feature-4"",1.0746992564201354
17402,,
17497,,
17548,,
17601,,
17657,,
17749,,
17799,,
17853,""Feature-1"",0.3575796466419706
17853,""Feature-3"",0.3966255760192871
17903,""Feature-1"",0.7966186213493347
17903,""Feature-3"",0.5156143736839295
17903,""Feature-4"",0.6307223653793335
17999,,
18048,,
18098,,
18196,,
18251,,
18298,,
18352,,
18403,,
18497,,
18550,,
18599,,
18697,,
18747,,
18797,,
18847,,
18906,,
19003,,
19049,,
19098,""Feature-1"",0.4119177267467603
19150,,
19248,,
19297,,
19347,""Feature-4"",0.40133877158164977
19407,""Feature-1"",0.5281131005287171
19407,""Feature-3"",0.5593165421485901
19407,""Feature-4"",1.0427108192443848
19498,,
19549,,
19599,,
19652,,
19750,""Feature-4"",0.37740018010139464
19797,""Feature-1"",0.655494613647461
19797,""Feature-3"",0.4407650423049927
19797,""Feature-4"",1.074658145904541
19849,""Feature-4"",0.47494703739881516
19947,,
19996,,
20046,,
20099,,
20153,,
