""timestamp"",""samples.name"",""samples.value""
0,,
493,,
990,,
1511,,
1992,,
2494,,
2994,,
3496,,
3997,,
4490,,
4994,,
5490,,
5992,,
6493,,
6995,,
7494,,
7992,,
8494,,
8993,,
9491,,
9992,,
10492,,
10988,,
11495,,
11992,,
12498,,
12988,,
13504,,
13990,,
14488,,
14959,,
15284,,
15612,,
15954,,
16285,,
16615,,
16945,,
17286,""Feature-3"",0.3950820528715849
17286,""Feature-4"",0.42881089843809606
17617,,
17952,,
18278,,
18608,,
18940,,
19288,""Feature-4"",0.4050554922968149
19611,,
19942,""Feature-4"",0.49926338501274586
20286,,
20616,,
20938,,
21289,,
21618,,
21952,""Feature-4"",0.39401643540710213
22280,,
22611,,
22964,,
23285,,
23611,,
23942,,
24286,,
24614,,
24944,,
25286,,
25617,,
25937,,
26278,,
26608,,
26939,,
27283,,
27612,,
27941,,
28285,,
28614,,
28944,,
29285,,
29616,,
29948,,
30277,,
30608,,
30938,,
31283,,
31611,,
31941,,
32284,,
32613,,
32945,,
33302,,
33645,,
33953,,
34345,,
34645,,
34956,,
35296,,
35645,,
35955,,
36301,,
36646,,
36955,,
37299,,
37645,,
37995,""Feature-4"",0.40042374075390397
38302,,
38645,,
38945,""Feature-1"",0.432384678182425
38945,""Feature-3"",0.36673304479569196
38945,""Feature-4"",0.4091041562706232
39302,,
39645,,
39946,,
40301,,
40645,,
40945,""Feature-1"",0.36283064046696384
40945,""Feature-4"",0.5085629043728113
41304,""Feature-1"",0.4098117079853546
41304,""Feature-4"",0.42677648067474366
41645,,
41952,,
42300,,
42644,,
42946,,
43300,,
43644,,
43954,,
44300,,
44645,,
44952,,
45300,,
45644,,
45952,,
46296,,
46646,,
46951,,
47303,,
47645,""Feature-4"",0.3957645694538951
47995,,
48304,,
48648,,
48949,""Feature-1"",0.36687632963352373
48949,""Feature-3"",0.3702696672081947
48949,""Feature-4"",0.36337121279910206
49302,,
49645,,
49953,,
50295,,
50645,,
50955,,
51297,,
51645,,
51952,,
52302,,
52645,,
52954,,
53301,,
53644,,
53994,,
54295,,
54644,,
54950,,
55296,,
55644,,
55950,,
56301,,
56645,,
56951,,
57301,,
57644,,
57952,""Feature-4"",0.39269572220742704
58296,,
58644,,
58946,,
59301,,
59645,,
59952,,
60305,,
60645,,
60955,,
61295,,
61644,,
61945,,
62307,,
62644,,
62951,,
63301,,
63644,,
63945,,
64298,,
64644,,
64949,,
65301,,
65644,,
65952,,
66299,,
66644,,
66951,,
67301,,
67644,,
67945,,
68294,,
68644,,
68951,""Feature-4"",0.4120920559670776
69301,,
69644,,
69953,,
70300,,
70643,,
70951,,
71301,,
71644,,
71952,""Feature-4"",0.3700581182166934
72302,,
72649,""Feature-4"",0.449146251231432
72953,,
73299,,
73646,,
73952,,
74296,,
74643,,
74953,""Feature-4"",0.42200296357274053
75303,,
75647,,
75952,,
76301,,
76643,,
76994,,
77300,,
77644,,
77950,,
78296,,
78605,,
78945,""Feature-4"",0.3682436880096793
79300,,
79644,,
79951,,
80302,,
80643,""Feature-4"",0.47557280346751213
80951,,
81301,,
81643,""Feature-4"",0.3819527531415224
81953,,
82298,,
82605,,
82949,,
83299,,
83643,""Feature-4"",0.36190240632742643
83953,,
84299,,
84643,,
84949,,
85300,,
85644,,
85951,,
86294,,
86643,,
86954,,
87342,""Feature-1"",0.3735984843305778
87644,,
87953,,
88302,,
88643,,
88954,,
89300,,
89643,,
89951,,
90299,,
90604,,
90949,,
91294,""Feature-4"",0.46981481766328215
91643,,
91950,,
92301,,
92644,,
92947,,
93293,,
93643,,
94003,,
94300,,
94644,,
94951,,
95299,""Feature-1"",0.3990788759669522
95646,,
95950,,
96302,,
96643,,
96948,,
97300,,
